max,mean,min,std,sum,depto,year
{'LST_1KM': 316.95956989247316},{'LST_1KM': 303.51139662877813},{'LST_1KM': 292.54878048780495},{'LST_1KM': 3.176005431666798},{'LST_1KM': 1616661.190708199},HN03,2000
{'LST_1KM': 318.1584},{'LST_1KM': 303.91951071574823},{'LST_1KM': 291.5716666666667},{'LST_1KM': 3.86473758250437},{'LST_1KM': 1618835.0207953532},HN03,2001
{'LST_1KM': 313.0384146341464},{'LST_1KM': 303.44253493039054},{'LST_1KM': 291.31864406779664},{'LST_1KM': 3.6187604114407463},{'LST_1KM': 1616294.3971164392},HN03,2002
{'LST_1KM': 315.09390625},{'LST_1KM': 304.2440693612402},{'LST_1KM': 293.0594520547946},{'LST_1KM': 3.315317235534141},{'LST_1KM': 1620563.7906936295},HN03,2003
{'LST_1KM': 316.728344370861},{'LST_1KM': 302.38602601829166},{'LST_1KM': 291.26281690140837},{'LST_1KM': 3.5897892681779977},{'LST_1KM': 1610666.8754655253},HN03,2004
{'LST_1KM': 316.66569343065703},{'LST_1KM': 303.2777410372542},{'LST_1KM': 292.76176470588234},{'LST_1KM': 3.239193533669632},{'LST_1KM': 1615416.6182440198},HN03,2005
{'LST_1KM': 313.1868027210885},{'LST_1KM': 302.61314887769385},{'LST_1KM': 290.79099999999994},{'LST_1KM': 3.5659426758324435},{'LST_1KM': 1611876.6511655373},HN03,2006
{'LST_1KM': 315.73710526315796},{'LST_1KM': 302.8790295976353},{'LST_1KM': 291.01972222222224},{'LST_1KM': 3.5092645864056045},{'LST_1KM': 1613292.871597657},HN03,2007
{'LST_1KM': 312.0180821917808},{'LST_1KM': 302.64984501446577},{'LST_1KM': 291.4493333333333},{'LST_1KM': 3.399572362907611},{'LST_1KM': 1612072.1140734446},HN03,2008
{'LST_1KM': 312.7561006289309},{'LST_1KM': 302.9021981989881},{'LST_1KM': 291.77768115942024},{'LST_1KM': 3.317155400594563},{'LST_1KM': 1613416.279743335},HN03,2009
{'LST_1KM': 314.63050359712224},{'LST_1KM': 302.65604376094075},{'LST_1KM': 292.53044776119395},{'LST_1KM': 3.1616409265893264},{'LST_1KM': 1612105.1318545507},HN03,2010
{'LST_1KM': 317.0023529411764},{'LST_1KM': 302.92082309354805},{'LST_1KM': 290.9553623188405},{'LST_1KM': 3.46989585592536},{'LST_1KM': 1613515.4857189606},HN03,2011
{'LST_1KM': 323.5198620689656},{'LST_1KM': 302.45234996422363},{'LST_1KM': 290.75424242424236},{'LST_1KM': 3.633565718896306},{'LST_1KM': 1611020.1516541422},HN03,2012
{'LST_1KM': 316.48729927007315},{'LST_1KM': 303.4758123249455},{'LST_1KM': 291.8392},{'LST_1KM': 3.466532023708317},{'LST_1KM': 1616471.6500067834},HN03,2013
{'LST_1KM': 313.84993630573257},{'LST_1KM': 303.0756395401949},{'LST_1KM': 291.1716981132075},{'LST_1KM': 3.449222861870151},{'LST_1KM': 1614340.119468327},HN03,2014
{'LST_1KM': 317.46285714285716},{'LST_1KM': 304.31165538075976},{'LST_1KM': 292.14878787878774},{'LST_1KM': 3.5988788547699184},{'LST_1KM': 1620923.7893493816},HN03,2015
{'LST_1KM': 316.3323178807947},{'LST_1KM': 304.4388012218903},{'LST_1KM': 292.93825000000004},{'LST_1KM': 3.416663958421078},{'LST_1KM': 1621601.034913136},HN03,2016
{'LST_1KM': 314.2214184397163},{'LST_1KM': 303.7852450269974},{'LST_1KM': 291.4904477611941},{'LST_1KM': 3.4550475413980037},{'LST_1KM': 1618119.8511817632},HN03,2017
{'LST_1KM': 314.08056737588635},{'LST_1KM': 303.6824599851079},{'LST_1KM': 292.0501449275363},{'LST_1KM': 3.452804784217138},{'LST_1KM': 1617572.3640361282},HN03,2018
{'LST_1KM': 317.3163333333333},{'LST_1KM': 305.09375133107835},{'LST_1KM': 292.79487804878045},{'LST_1KM': 3.4964782023065686},{'LST_1KM': 1625089.6433645326},HN03,2019
{'LST_1KM': 313.81607594936736},{'LST_1KM': 305.2729633005016},{'LST_1KM': 293.8424096385542},{'LST_1KM': 3.191048813996944},{'LST_1KM': 1626044.220487814},HN03,2020
{'LST_1KM': 314.28980132450334},{'LST_1KM': 303.9370802544981},{'LST_1KM': 292.64799999999997},{'LST_1KM': 3.364906919045605},{'LST_1KM': 1618928.6053913552},HN03,2021
{'LST_1KM': 314.5799999999999},{'LST_1KM': 303.59662592752557},{'LST_1KM': 291.31354838709683},{'LST_1KM': 3.5901949802522424},{'LST_1KM': 1617115.1667404887},HN03,2022
{'LST_1KM': 313.1611538461538},{'LST_1KM': 303.99300426045914},{'LST_1KM': 292.0834693877549},{'LST_1KM': 3.302817807078922},{'LST_1KM': 1619226.4860346208},HN03,2023
{'LST_1KM': 311.61984732824425},{'LST_1KM': 303.28810890805113},{'LST_1KM': 292.6427586206896},{'LST_1KM': 2.9818390952521687},{'LST_1KM': 1615471.8429720988},HN03,2024
{'LST_1KM': 311.2136363636363},{'LST_1KM': 300.2434778356328},{'LST_1KM': 290.01461538461535},{'LST_1KM': 3.1513152536176654},{'LST_1KM': 1599254.5379566194},HN03,2025
{'LST_1KM': 314.7522641509434},{'LST_1KM': 303.17439310265064},{'LST_1KM': 293.26064516129026},{'LST_1KM': 3.5752129517582723},{'LST_1KM': 797337.9535872731},HN12,2000
{'LST_1KM': 316.31006451612876},{'LST_1KM': 303.5300620694838},{'LST_1KM': 293.1001923076923},{'LST_1KM': 3.9868399052603243},{'LST_1KM': 798273.350417022},HN12,2001
{'LST_1KM': 312.91171974522274},{'LST_1KM': 303.5300762783174},{'LST_1KM': 293.0244444444443},{'LST_1KM': 3.9213655970898462},{'LST_1KM': 798273.3877857529},HN12,2002
{'LST_1KM': 316.7518055555558},{'LST_1KM': 303.1453072653388},{'LST_1KM': 294.0778378378379},{'LST_1KM': 3.573160985363029},{'LST_1KM': 797261.4588617019},HN12,2003
{'LST_1KM': 317.18947368421067},{'LST_1KM': 302.03709644385947},{'LST_1KM': 291.8880459770116},{'LST_1KM': 4.039005874724727},{'LST_1KM': 794346.9035145345},HN12,2004
{'LST_1KM': 311.0544785276073},{'LST_1KM': 302.17248990167195},{'LST_1KM': 292.9620560747664},{'LST_1KM': 3.6573873218682453},{'LST_1KM': 794702.9835299887},HN12,2005
{'LST_1KM': 313.84070588235284},{'LST_1KM': 302.2311809462465},{'LST_1KM': 291.83736842105264},{'LST_1KM': 3.958448143731047},{'LST_1KM': 794857.3389057711},HN12,2006
{'LST_1KM': 318.6541975308642},{'LST_1KM': 302.49620306379177},{'LST_1KM': 292.64734693877546},{'LST_1KM': 3.8816800941879186},{'LST_1KM': 795554.3377211933},HN12,2007
{'LST_1KM': 311.8148571428572},{'LST_1KM': 301.85107741463867},{'LST_1KM': 292.0660273972603},{'LST_1KM': 3.849650640446709},{'LST_1KM': 793857.6800330613},HN12,2008
{'LST_1KM': 311.820465116279},{'LST_1KM': 302.38006135888355},{'LST_1KM': 292.46863636363645},{'LST_1KM': 3.647146554284037},{'LST_1KM': 795248.8891364037},HN12,2009
{'LST_1KM': 311.66331125827816},{'LST_1KM': 302.15238968581616},{'LST_1KM': 293.03938144329896},{'LST_1KM': 3.5057158513216535},{'LST_1KM': 794650.1206717073},HN12,2010
{'LST_1KM': 313.4616000000001},{'LST_1KM': 302.03795023340507},{'LST_1KM': 291.6842666666666},{'LST_1KM': 3.842243912475256},{'LST_1KM': 794349.1489509057},HN12,2011
{'LST_1KM': 313.2767346938776},{'LST_1KM': 302.01509067405374},{'LST_1KM': 292.0148148148148},{'LST_1KM': 3.774936321910915},{'LST_1KM': 794289.0291166196},HN12,2012
{'LST_1KM': 315.4805161290323},{'LST_1KM': 302.76980444395247},{'LST_1KM': 292.98599999999976},{'LST_1KM': 3.827762236652657},{'LST_1KM': 796273.8996944968},HN12,2013
{'LST_1KM': 314.71963855421694},{'LST_1KM': 302.80368209803015},{'LST_1KM': 292.4994805194805},{'LST_1KM': 3.8440944452390915},{'LST_1KM': 796362.9967290391},HN12,2014
{'LST_1KM': 318.7329885057471},{'LST_1KM': 304.13334735309616},{'LST_1KM': 293.20817204301073},{'LST_1KM': 3.9936640073961525},{'LST_1KM': 799859.9694205007},HN12,2015
{'LST_1KM': 313.9189610389612},{'LST_1KM': 302.8516678083919},{'LST_1KM': 292.8959550561798},{'LST_1KM': 3.7863787136954854},{'LST_1KM': 796489.1974536772},HN12,2016
{'LST_1KM': 313.99351351351356},{'LST_1KM': 302.88526009064645},{'LST_1KM': 292.1298550724637},{'LST_1KM': 3.7918329247995604},{'LST_1KM': 796577.5439703967},HN12,2017
{'LST_1KM': 314.143113772455},{'LST_1KM': 303.1479669403008},{'LST_1KM': 293.0355789473685},{'LST_1KM': 3.7922135914165627},{'LST_1KM': 797268.4537129812},HN12,2018
{'LST_1KM': 316.31696629213496},{'LST_1KM': 303.6135269316548},{'LST_1KM': 293.5868},{'LST_1KM': 3.7753155155912372},{'LST_1KM': 798492.8600587131},HN12,2019
{'LST_1KM': 315.3271698113208},{'LST_1KM': 304.086576094051},{'LST_1KM': 293.993786407767},{'LST_1KM': 3.6112634799533354},{'LST_1KM': 799736.9626599622},HN12,2020
{'LST_1KM': 315.9167857142855},{'LST_1KM': 302.9178230461194},{'LST_1KM': 292.54187499999995},{'LST_1KM': 3.8753949564297585},{'LST_1KM': 796663.1833940097},HN12,2021
{'LST_1KM': 316.39842105263165},{'LST_1KM': 302.4897897342066},{'LST_1KM': 291.41812500000003},{'LST_1KM': 4.002553170425317},{'LST_1KM': 795537.4708907373},HN12,2022
{'LST_1KM': 315.0381481481482},{'LST_1KM': 302.53003651029985},{'LST_1KM': 292.56555555555553},{'LST_1KM': 3.6681093630143633},{'LST_1KM': 795643.318491388},HN12,2023
{'LST_1KM': 313.54902777777784},{'LST_1KM': 301.82125409904825},{'LST_1KM': 292.73216494845354},{'LST_1KM': 3.369183890894288},{'LST_1KM': 793779.2457656461},HN12,2024
{'LST_1KM': 317.4458333333334},{'LST_1KM': 299.8534623055952},{'LST_1KM': 290.0551724137931},{'LST_1KM': 4.293815655993265},{'LST_1KM': 788604.0228003396},HN12,2025
{'LST_1KM': 311.7336134453782},{'LST_1KM': 303.0553548368119},{'LST_1KM': 288.95913043478254},{'LST_1KM': 3.683998519219545},{'LST_1KM': 1348841.150212426},HN13,2000
{'LST_1KM': 312.44318407960196},{'LST_1KM': 303.41270424199445},{'LST_1KM': 288.8081481481482},{'LST_1KM': 3.96710454518586},{'LST_1KM': 1350431.643747753},HN13,2001
{'LST_1KM': 312.14900990099},{'LST_1KM': 303.4084456885301},{'LST_1KM': 289.15822580645164},{'LST_1KM': 3.9041993939731494},{'LST_1KM': 1350412.6897445933},HN13,2002
{'LST_1KM': 309.97162303664936},{'LST_1KM': 303.08065991976343},{'LST_1KM': 289.5946341463416},{'LST_1KM': 3.4477524763991014},{'LST_1KM': 1348953.778274098},HN13,2003
{'LST_1KM': 310.7098113207549},{'LST_1KM': 302.37054341895777},{'LST_1KM': 289.10810344827587},{'LST_1KM': 3.76895046655977},{'LST_1KM': 1345793.1861827709},HN13,2004
{'LST_1KM': 310.29907514450866},{'LST_1KM': 302.50120360788105},{'LST_1KM': 288.705652173913},{'LST_1KM': 3.695197342025845},{'LST_1KM': 1346374.7295764163},HN13,2005
{'LST_1KM': 311.0670351758794},{'LST_1KM': 302.35717982551137},{'LST_1KM': 288.66043956043967},{'LST_1KM': 3.7984678673658596},{'LST_1KM': 1345733.7073962472},HN13,2006
{'LST_1KM': 310.97779005524876},{'LST_1KM': 302.4839249286635},{'LST_1KM': 288.8079661016949},{'LST_1KM': 3.69323643983414},{'LST_1KM': 1346297.8254954359},HN13,2007
{'LST_1KM': 310.8100584795322},{'LST_1KM': 302.171590297813},{'LST_1KM': 288.3717391304347},{'LST_1KM': 3.757521219555567},{'LST_1KM': 1344907.6840707632},HN13,2008
{'LST_1KM': 310.41427184466016},{'LST_1KM': 302.45625975667576},{'LST_1KM': 289.2203539823008},{'LST_1KM': 3.686021044811702},{'LST_1KM': 1346174.6931309712},HN13,2009
{'LST_1KM': 310.77216374269017},{'LST_1KM': 302.44508161774843},{'LST_1KM': 289.9664},{'LST_1KM': 3.5993375669195844},{'LST_1KM': 1346124.9413825616},HN13,2010
{'LST_1KM': 311.3603174603174},{'LST_1KM': 302.35379649097354},{'LST_1KM': 288.4465957446809},{'LST_1KM': 3.7586250118713966},{'LST_1KM': 1345718.6488243502},HN13,2011
{'LST_1KM': 310.3552040816326},{'LST_1KM': 302.17934786311946},{'LST_1KM': 288.5350909090908},{'LST_1KM': 3.6594817135201274},{'LST_1KM': 1344942.2115032729},HN13,2012
{'LST_1KM': 310.2619148936172},{'LST_1KM': 302.9151029077263},{'LST_1KM': 289.5928000000001},{'LST_1KM': 3.592686471149396},{'LST_1KM': 1348216.9158264366},HN13,2013
{'LST_1KM': 311.26030456852783},{'LST_1KM': 302.8135729790521},{'LST_1KM': 288.9666666666668},{'LST_1KM': 3.7809185058722306},{'LST_1KM': 1347765.0256235802},HN13,2014
{'LST_1KM': 311.7884693877551},{'LST_1KM': 303.68621435358006},{'LST_1KM': 289.4226666666667},{'LST_1KM': 3.7401509192360316},{'LST_1KM': 1351648.9846975754},HN13,2015
{'LST_1KM': 312.71151999999995},{'LST_1KM': 303.0665476803084},{'LST_1KM': 289.2525252525252},{'LST_1KM': 3.693507138187953},{'LST_1KM': 1348890.9674080473},HN13,2016
{'LST_1KM': 312.4625510204082},{'LST_1KM': 303.12088487742966},{'LST_1KM': 289.3474509803921},{'LST_1KM': 3.837069630504892},{'LST_1KM': 1349132.8118311686},HN13,2017
{'LST_1KM': 311.72915789473666},{'LST_1KM': 303.12403604544676},{'LST_1KM': 288.999344262295},{'LST_1KM': 3.822776802946864},{'LST_1KM': 1349146.8370744942},HN13,2018
{'LST_1KM': 311.4579411764706},{'LST_1KM': 303.34959727303345},{'LST_1KM': 289.8577272727273},{'LST_1KM': 3.699926345395186},{'LST_1KM': 1350150.7667553448},HN13,2019
{'LST_1KM': 312.0181967213115},{'LST_1KM': 303.95437554252857},{'LST_1KM': 289.795593220339},{'LST_1KM': 3.7390982370454786},{'LST_1KM': 1352842.5186205725},HN13,2020
{'LST_1KM': 312.3247668393783},{'LST_1KM': 302.95836450485757},{'LST_1KM': 289.2541176470589},{'LST_1KM': 3.824507252201326},{'LST_1KM': 1348409.4648822553},HN13,2021
{'LST_1KM': 310.38716577540106},{'LST_1KM': 302.4567622545659},{'LST_1KM': 288.1179629629631},{'LST_1KM': 3.820779457119365},{'LST_1KM': 1346176.9296525216},HN13,2022
{'LST_1KM': 310.07496503496515},{'LST_1KM': 302.686861314246},{'LST_1KM': 289.480882352941},{'LST_1KM': 3.591407406727386},{'LST_1KM': 1347201.0563520445},HN13,2023
{'LST_1KM': 311.7813414634146},{'LST_1KM': 302.12440202314605},{'LST_1KM': 289.7191240875912},{'LST_1KM': 3.484238407396208},{'LST_1KM': 1344697.6581277712},HN13,2024
{'LST_1KM': 314.0567857142857},{'LST_1KM': 300.24605687826954},{'LST_1KM': 287.5478048780488},{'LST_1KM': 4.1385315601880786},{'LST_1KM': 1336337.5048248363},HN13,2025
{'LST_1KM': 318.40479999999997},{'LST_1KM': 302.552840316596},{'LST_1KM': 292.1084848484849},{'LST_1KM': 3.3256751455694045},{'LST_1KM': 7557609.776075451},HN15,2000
{'LST_1KM': 320.0830769230769},{'LST_1KM': 301.72249416949313},{'LST_1KM': 291.72740740740744},{'LST_1KM': 3.3457358387408966},{'LST_1KM': 7536868.16891584},HN15,2001
{'LST_1KM': 316.642018348624},{'LST_1KM': 301.6180880721103},{'LST_1KM': 292.2021052631579},{'LST_1KM': 2.9663081311234567},{'LST_1KM': 7534260.159877033},HN15,2002
{'LST_1KM': 325.41564516129046},{'LST_1KM': 302.97630707166945},{'LST_1KM': 293.9191111111112},{'LST_1KM': 3.2319477181219796},{'LST_1KM': 7568187.751428903},HN15,2003
{'LST_1KM': 317.87712000000016},{'LST_1KM': 300.8517608889078},{'LST_1KM': 290.9377777777778},{'LST_1KM': 2.870583959224637},{'LST_1KM': 7515117.712543261},HN15,2004
{'LST_1KM': 320.2435087719299},{'LST_1KM': 302.0895545021998},{'LST_1KM': 292.5268085106383},{'LST_1KM': 2.895436762089359},{'LST_1KM': 7546037.141700794},HN15,2005
