edad;Hombre;Mujer;;;;;
0;82754;80521;;;;;
1;82240;79987;;;;;
2;92106;88649;;;;;
3;94183;91351;;;;;
4;92928;89569;;;;;
5;91393;87278;;;;;
6;88627;86383;;;;;
7;90722;86326;;;;;
8;90708;87482;;;;;
9;82927;80699;;;;;
10;88470;84522;;;;;
11;84072;81391;;;;;
12;86368;81144;;;;;
13;77526;75974;;;;;
14;74762;71456;;;;;
15;73818;75134;;;;;
16;71527;71713;;;;;
17;69881;69032;;;;;
18;78704;75408;;;;;
19;58483;63144;;;;;
20;64751;71216;;;;;
21;53485;57841;;;;;
22;59052;62872;;;;;
23;54242;59302;;;;;
24;49171;54525;;;;;
25;50162;54838;;;;;
26;41744;47090;;;;;
27;38788;42792;;;;;
28;40982;45589;;;;;
29;33210;37892;;;;;
30;48724;51699;;;;;
31;27653;30379;;;;;
32;34145;37843;;;;;
33;30293;32879;;;;;
34;28283;30392;;;;;
35;33766;36941;;;;;
36;30206;33585;;;;;
37;25329;28819;;;;;
38;32194;36047;;;;;
39;25059;28419;;;;;
40;38817;39913;;;;;
41;20028;21257;;;;;
42;28625;29436;;;;;
43;22395;24348;;;;;
44;21998;22815;;;;;
45;26760;27468;;;;;
46;19565;20962;;;;;
47;18599;19474;;;;;
48;21318;22212;;;;;
49;17109;19103;;;;;
50;26672;27260;;;;;
51;14499;14647;;;;;
52;18537;18251;;;;;
53;14375;15099;;;;;
54;14664;15466;;;;;
55;14358;14923;;;;;
56;13829;14118;;;;;
57;10018;10750;;;;;
58;11725;12427;;;;;
59;9071;9824;;;;;
60;17913;18013;;;;;
61;8200;8697;;;;;
62;9910;10223;;;;;
63;9786;10292;;;;;
64;8952;9497;;;;;
65;11115;11474;;;;;
66;8389;8612;;;;;
67;7489;7644;;;;;
68;7924;8478;;;;;
69;5194;5867;;;;;
70;9905;9827;;;;;
71;4810;5174;;;;;
72;6159;6350;;;;;
73;5338;5459;;;;;
74;5072;5189;;;;;
75;5893;6135;;;;;
76;4880;4795;;;;;
77;3562;3647;;;;;
78;4615;4754;;;;;
79;2818;3079;;;;;
80;4518;4854;;;;;
81;2494;2686;;;;;
82;2464;2518;;;;;
83;1983;2159;;;;;
84;1915;2073;;;;;
85;1920;2167;;;;;
86;1572;1811;;;;;
87;1435;1583;;;;;
88;1097;1270;;;;;
89;970;1134;;;;;
90;923;1139;;;;;
91;641;660;;;;;
92;543;574;;;;;
93;373;500;;;;;
94;297;339;;;;;
95;315;356;;;;;
96;237;269;;;;;
97;190;218;;;;;
98;189;245;;;;;
99;222;246;;;;;
100;93;132;;;;;
101;24;23;;;;;
102;14;18;;;;;
103;9;10;;;;;
104;3;14;;;;;
105;5;8;;;;;
106;4;1;;;;;
107;1;2;;;;;
108;0;3;;;;;
109;2;1;;;;;
110;3;5;;;;;
112;1;0;;;;;
113;1;0;;;;;
114;1;0;;;;;
115;0;1;;;;;
116;0;1;;;;;
;;;;;;;
